Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
307,Edmond-Paris Maghoma,eng ENG,"MF,FW",Brentford,23-312,2001,7,0,111,1.2,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.2,4,11,4,0,0,0,0,0,0.09,0.09,0.18,0.09,0.18,Matches
308,Harry Maguire,eng ENG,DF,Manchester Utd,32-011,1993,20,15,"1,358",15.1,1,0,1,1,0,0,7,0,0.8,0.8,0.3,1.1,6,42,4,0.07,0,0.07,0.07,0.07,0.05,0.02,0.07,0.05,0.07,Matches
309,Kobbie Mainoo,eng ENG,MF,Manchester Utd,19-331,2005,18,15,"1,285",14.3,0,0,0,0,0,0,5,0,0.5,0.5,1.5,2,19,52,35,0,0,0,0,0,0.04,0.11,0.14,0.04,0.14,Matches
310,Tyrell Malacia,nl NED,DF,Manchester Utd,25-211,1999,3,2,100,1.1,0,0,0,0,0,0,1,0,0,0,0,0,3,3,6,0,0,0,0,0,0,0.03,0.03,0,0.03,Matches
311,Donyell Malen,nl NED,FW,Aston Villa,26-066,1999,6,1,170,1.9,0,0,0,0,0,0,0,0,0.6,0.6,0,0.6,5,3,14,0,0,0,0,0,0.3,0.02,0.32,0.3,0.32,Matches
312,Orel Mangala,be BEL,MF,Everton,26-363,1998,19,14,"1,261",14,1,0,1,1,0,0,2,0,1.1,1.1,0.6,1.8,6,34,19,0.07,0,0.07,0.07,0.07,0.08,0.05,0.13,0.08,0.13,Matches
313,Ryan Manning,ie IRL,"DF,MF",Southampton,28-275,1996,17,12,971,10.8,0,0,0,0,0,0,2,0,0.3,0.3,2.4,2.7,11,15,57,0,0,0,0,0,0.03,0.22,0.25,0.03,0.25,Matches
314,Solly March,eng ENG,"MF,FW",Brighton,30-239,1994,4,0,40,0.4,0,0,0,0,0,0,1,0,0.1,0.1,0,0.1,0,1,1,0,0,0,0,0,0.15,0,0.15,0.15,0.15,Matches
315,Omar Marmoush,eg EGY,"MF,FW",Manchester City,26-037,1999,7,6,475,5.3,4,0,4,4,0,0,0,0,1.1,1.1,1,2.1,11,15,34,0.76,0,0.76,0.76,0.76,0.22,0.19,0.4,0.22,0.4,Matches
316,Gabriel Martinelli,br BRA,"FW,MF",Arsenal,23-271,2001,23,16,"1,491",16.6,6,3,9,6,0,0,1,0,4.4,4.4,2.9,7.3,83,28,190,0.36,0.18,0.54,0.36,0.54,0.27,0.17,0.44,0.27,0.44,Matches
